{'imei': '305504094512937', 'imsi': '305504094512937', 'ses_id': '00121', 'mac': '9A:D7:6A:47:CD:61', 'relation': 'r40', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '307634113641874', 'imsi': '307634113641874', 'ses_id': '00142', 'mac': '58:FA:BD:59:38:D3', 'relation': 'r47', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '425414164445173', 'imsi': '425414164445173', 'ses_id': '00143', 'mac': '35:8A:29:E1:B5:88', 'relation': 'r47', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '942948506356098', 'imsi': '942948506356098', 'ses_id': '00144', 'mac': '40:67:A1:8E:97:04', 'relation': 'r47', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '383999849164986', 'imsi': '383999849164986', 'ses_id': '00145', 'mac': '4E:B7:60:99:D1:3E', 'relation': 'r48', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '240223663218456', 'imsi': '240223663218456', 'ses_id': '00146', 'mac': '92:E5:77:B0:12:FA', 'relation': 'r48', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '920783432650027', 'imsi': '920783432650027', 'ses_id': '00147', 'mac': '28:00:D4:D2:30:89', 'relation': 'r48', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '586355395188109', 'imsi': '586355395188109', 'ses_id': '00148', 'mac': '31:11:13:E9:5D:CA', 'relation': 'r49', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '482638707267939', 'imsi': '482638707267939', 'ses_id': '00149', 'mac': '58:46:04:FA:A0:59', 'relation': 'r49', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '748519203274848', 'imsi': '748519203274848', 'ses_id': '00150', 'mac': 'D2:AF:A3:8D:38:D3', 'relation': 'r49', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '250957691865351', 'imsi': '250957691865351', 'ses_id': '00151', 'mac': 'AC:BF:09:0E:1D:40', 'relation': 'r50', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '140030135545002', 'imsi': '140030135545002', 'ses_id': '00152', 'mac': '14:5B:D9:5A:0E:05', 'relation': 'r50', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '978266630709524', 'imsi': '978266630709524', 'ses_id': '00153', 'mac': '22:24:0E:75:A3:45', 'relation': 'r50', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '382147466149458', 'imsi': '382147466149458', 'ses_id': '00154', 'mac': 'AC:3B:A7:5A:A9:68', 'relation': 'r51', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '984262349621711', 'imsi': '984262349621711', 'ses_id': '00155', 'mac': '1A:2A:9B:E0:DF:D7', 'relation': 'r51', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '265670939677848', 'imsi': '265670939677848', 'ses_id': '00156', 'mac': 'D5:B9:8E:C3:BF:D6', 'relation': 'r51', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '737073586703719', 'imsi': '737073586703719', 'ses_id': '00157', 'mac': '62:1F:07:8A:10:59', 'relation': 'r52', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '752940999989348', 'imsi': '752940999989348', 'ses_id': '00158', 'mac': '54:33:31:91:65:0C', 'relation': 'r52', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '724847595573937', 'imsi': '724847595573937', 'ses_id': '00159', 'mac': '36:EE:5B:4A:D4:A8', 'relation': 'r52', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '163887924867803', 'imsi': '163887924867803', 'ses_id': '00160', 'mac': '02:2A:A7:4F:A6:2D', 'relation': 'r53', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '354498301796264', 'imsi': '354498301796264', 'ses_id': '00161', 'mac': '7A:DC:E7:02:C9:F1', 'relation': 'r53', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '865794852079148', 'imsi': '865794852079148', 'ses_id': '00162', 'mac': '54:B2:86:91:7A:A2', 'relation': 'r53', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '858525147907361', 'imsi': '858525147907361', 'ses_id': '00163', 'mac': '2D:1B:43:9A:D7:8C', 'relation': 'r54', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '370197151837445', 'imsi': '370197151837445', 'ses_id': '00164', 'mac': 'D1:D0:9D:AC:16:E8', 'relation': 'r54', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '639865109582109', 'imsi': '639865109582109', 'ses_id': '00165', 'mac': 'B8:93:24:44:25:E6', 'relation': 'r54', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '428085351093348', 'imsi': '428085351093348', 'ses_id': '00166', 'mac': '88:15:D8:1B:8E:51', 'relation': 'r55', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '287607586215339', 'imsi': '287607586215339', 'ses_id': '00167', 'mac': 'BF:DC:6B:51:3D:35', 'relation': 'r55', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '416447840904438', 'imsi': '416447840904438', 'ses_id': '00168', 'mac': '17:93:A8:83:E9:7C', 'relation': 'r55', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '541699681005609', 'imsi': '541699681005609', 'ses_id': '00169', 'mac': 'F8:88:6C:82:B5:E1', 'relation': 'r56', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '306883671510034', 'imsi': '306883671510034', 'ses_id': '00170', 'mac': '13:24:F4:81:A1:35', 'relation': 'r56', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '270181612560128', 'imsi': '270181612560128', 'ses_id': '00171', 'mac': '8A:86:3D:33:6A:0B', 'relation': 'r56', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '107402305169547', 'imsi': '107402305169547', 'ses_id': '00172', 'mac': '71:C3:6B:46:E5:9D', 'relation': 'r57', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '892827270863467', 'imsi': '892827270863467', 'ses_id': '00173', 'mac': '91:E3:12:88:CE:DF', 'relation': 'r57', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '291807820553148', 'imsi': '291807820553148', 'ses_id': '00174', 'mac': 'B1:21:AA:B1:B9:42', 'relation': 'r57', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '374950646443030', 'imsi': '374950646443030', 'ses_id': '00175', 'mac': '57:73:AF:13:1E:51', 'relation': 'r58', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '104717154848308', 'imsi': '104717154848308', 'ses_id': '00176', 'mac': '1B:9C:07:B6:7C:71', 'relation': 'r58', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '864822542913426', 'imsi': '864822542913426', 'ses_id': '00177', 'mac': '83:24:B5:5F:AB:26', 'relation': 'r58', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '958064122161021', 'imsi': '958064122161021', 'ses_id': '00178', 'mac': 'B2:8B:1C:C1:85:C2', 'relation': 'r59', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '758201524217615', 'imsi': '758201524217615', 'ses_id': '00179', 'mac': 'A9:71:6D:2D:F3:1A', 'relation': 'r59', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '143800342805945', 'imsi': '143800342805945', 'ses_id': '00180', 'mac': '86:02:2A:7C:CE:9C', 'relation': 'r59', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '613545019167179', 'imsi': '613545019167179', 'ses_id': '00181', 'mac': 'A5:D3:9A:54:3B:58', 'relation': 'r60', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '651909341741912', 'imsi': '651909341741912', 'ses_id': '00182', 'mac': '96:58:86:2F:AA:1C', 'relation': 'r60', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '536754737219300', 'imsi': '536754737219300', 'ses_id': '00183', 'mac': '68:03:72:F2:6C:5E', 'relation': 'r60', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '759026890200714', 'imsi': '759026890200714', 'ses_id': '00184', 'mac': '79:30:47:1B:C6:35', 'relation': 'r61', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '591890637154168', 'imsi': '591890637154168', 'ses_id': '00185', 'mac': 'A5:46:E4:25:BA:83', 'relation': 'r61', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '407043745905431', 'imsi': '407043745905431', 'ses_id': '00186', 'mac': 'C7:43:48:1A:F4:44', 'relation': 'r61', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '428648698419265', 'imsi': '428648698419265', 'ses_id': '00187', 'mac': 'A5:E7:02:A5:6D:05', 'relation': 'r62', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '800988471213227', 'imsi': '800988471213227', 'ses_id': '00188', 'mac': '2B:9C:7F:E3:73:50', 'relation': 'r62', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '590083784433058', 'imsi': '590083784433058', 'ses_id': '00189', 'mac': '06:40:98:C3:BA:06', 'relation': 'r62', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '685382745991477', 'imsi': '685382745991477', 'ses_id': '00190', 'mac': 'B4:A1:15:52:1D:E7', 'relation': 'r63', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '677063902385044', 'imsi': '677063902385044', 'ses_id': '00191', 'mac': 'DD:04:FD:D0:42:3C', 'relation': 'r63', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '996273712106426', 'imsi': '996273712106426', 'ses_id': '00192', 'mac': '0F:F6:A9:A6:B6:7C', 'relation': 'r63', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '350205125370973', 'imsi': '350205125370973', 'ses_id': '00193', 'mac': '0B:D0:0C:18:00:B0', 'relation': 'r64', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '453671338687106', 'imsi': '453671338687106', 'ses_id': '00194', 'mac': '89:3A:A6:84:57:9E', 'relation': 'r64', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '946124456619112', 'imsi': '946124456619112', 'ses_id': '00195', 'mac': 'E4:5A:9B:73:85:C1', 'relation': 'r64', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '514588298793679', 'imsi': '514588298793679', 'ses_id': '00196', 'mac': '1C:9A:74:4D:C7:97', 'relation': 'r65', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '773736554791403', 'imsi': '773736554791403', 'ses_id': '00197', 'mac': 'CF:01:63:F5:65:FE', 'relation': 'r65', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '752345086549234', 'imsi': '752345086549234', 'ses_id': '00198', 'mac': 'F6:18:AC:9A:01:61', 'relation': 'r65', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '515667077028356', 'imsi': '515667077028356', 'ses_id': '00199', 'mac': '40:DF:F7:7C:7F:CB', 'relation': 'r66', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '636946159195856', 'imsi': '636946159195856', 'ses_id': '00200', 'mac': '3C:18:1F:61:66:8F', 'relation': 'r66', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '890932594263493', 'imsi': '890932594263493', 'ses_id': '00201', 'mac': '31:AC:1F:C4:9A:49', 'relation': 'r66', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '975442922421480', 'imsi': '975442922421480', 'ses_id': '00202', 'mac': '20:58:02:3B:E4:4F', 'relation': 'r67', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '162108428821022', 'imsi': '162108428821022', 'ses_id': '00203', 'mac': '49:F9:E8:82:82:D8', 'relation': 'r67', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '795129499377324', 'imsi': '795129499377324', 'ses_id': '00204', 'mac': '2A:BA:5F:47:09:D3', 'relation': 'r67', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '864957793578733', 'imsi': '864957793578733', 'ses_id': '00205', 'mac': '01:E8:42:77:A7:E9', 'relation': 'r68', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '351383421574269', 'imsi': '351383421574269', 'ses_id': '00206', 'mac': 'E7:06:98:D0:20:57', 'relation': 'r68', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '496737046682025', 'imsi': '496737046682025', 'ses_id': '00207', 'mac': '98:C2:FA:50:A4:2D', 'relation': 'r68', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '629885251630744', 'imsi': '629885251630744', 'ses_id': '00208', 'mac': '59:5E:E4:8C:02:33', 'relation': 'r69', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '309077249793539', 'imsi': '309077249793539', 'ses_id': '00209', 'mac': '9F:CA:91:22:8E:47', 'relation': 'r69', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '172051020567890', 'imsi': '172051020567890', 'ses_id': '00210', 'mac': '98:13:A2:1F:05:E9', 'relation': 'r69', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '336760437310007', 'imsi': '336760437310007', 'ses_id': '00211', 'mac': '96:63:78:5F:81:01', 'relation': 'r70', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '678567037415609', 'imsi': '678567037415609', 'ses_id': '00212', 'mac': '1B:39:06:F2:CF:58', 'relation': 'r70', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '537474139724868', 'imsi': '537474139724868', 'ses_id': '00213', 'mac': '15:7A:05:33:09:51', 'relation': 'r70', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '798227015122172', 'imsi': '798227015122172', 'ses_id': '00214', 'mac': 'F0:F8:00:9A:5A:3E', 'relation': 'r71', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '141817203926448', 'imsi': '141817203926448', 'ses_id': '00215', 'mac': 'F2:1C:26:43:00:C4', 'relation': 'r71', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '721865587979470', 'imsi': '721865587979470', 'ses_id': '00216', 'mac': 'DF:78:8A:98:48:ED', 'relation': 'r71', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '657524951715600', 'imsi': '657524951715600', 'ses_id': '00217', 'mac': '27:87:2A:61:C6:CD', 'relation': 'r72', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '973660527365832', 'imsi': '973660527365832', 'ses_id': '00218', 'mac': 'A1:15:0C:98:BE:F3', 'relation': 'r72', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '722565099236170', 'imsi': '722565099236170', 'ses_id': '00219', 'mac': '08:AD:F9:A1:F3:81', 'relation': 'r72', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '435288346006341', 'imsi': '435288346006341', 'ses_id': '00220', 'mac': 'DC:20:2E:8C:E8:19', 'relation': 'r73', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '943489694366772', 'imsi': '943489694366772', 'ses_id': '00221', 'mac': '50:FF:8E:32:7C:E6', 'relation': 'r73', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '608462028407320', 'imsi': '608462028407320', 'ses_id': '00222', 'mac': '69:66:BD:69:08:3B', 'relation': 'r73', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '453392561361681', 'imsi': '453392561361681', 'ses_id': '00223', 'mac': '60:85:29:C6:2B:60', 'relation': 'r74', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '702332840489866', 'imsi': '702332840489866', 'ses_id': '00224', 'mac': 'A9:A2:69:7A:2C:FC', 'relation': 'r74', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '131520429274948', 'imsi': '131520429274948', 'ses_id': '00225', 'mac': '06:63:C8:D3:26:73', 'relation': 'r74', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '595512120509912', 'imsi': '595512120509912', 'ses_id': '00226', 'mac': 'D3:9E:ED:90:63:AA', 'relation': 'r75', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '313105839749135', 'imsi': '313105839749135', 'ses_id': '00227', 'mac': 'B1:6C:D5:07:AE:07', 'relation': 'r75', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '933297114151890', 'imsi': '933297114151890', 'ses_id': '00228', 'mac': '78:08:CF:00:32:92', 'relation': 'r75', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '950788823173535', 'imsi': '950788823173535', 'ses_id': '00229', 'mac': 'F1:A5:45:FE:65:A3', 'relation': 'r76', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '569555067728997', 'imsi': '569555067728997', 'ses_id': '00230', 'mac': '05:04:34:A0:A4:17', 'relation': 'r76', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '681655362234831', 'imsi': '681655362234831', 'ses_id': '00231', 'mac': '4A:16:C0:8B:02:1C', 'relation': 'r76', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '770831920251831', 'imsi': '770831920251831', 'ses_id': '00235', 'mac': 'E4:B9:BD:68:0B:C0', 'relation': 'r78', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '640086599413813', 'imsi': '640086599413813', 'ses_id': '00236', 'mac': '30:C4:76:2D:7A:D9', 'relation': 'r78', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '296390466298871', 'imsi': '296390466298871', 'ses_id': '00237', 'mac': '4B:1C:45:A3:87:A3', 'relation': 'r78', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '649572202508461', 'imsi': '649572202508461', 'ses_id': '00238', 'mac': '41:AC:C7:6F:13:48', 'relation': 'r79', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '886642585333203', 'imsi': '886642585333203', 'ses_id': '00239', 'mac': '95:5E:E3:73:E7:F3', 'relation': 'r79', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '437082354608756', 'imsi': '437082354608756', 'ses_id': '00240', 'mac': 'A0:53:1F:64:1F:1C', 'relation': 'r79', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '113086068071809', 'imsi': '113086068071809', 'ses_id': '00241', 'mac': '77:C7:9F:D1:53:E3', 'relation': 'r80', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '624128949478156', 'imsi': '624128949478156', 'ses_id': '00242', 'mac': '65:64:B5:66:E0:9E', 'relation': 'r80', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '352178876410299', 'imsi': '352178876410299', 'ses_id': '00243', 'mac': '0D:20:C3:73:93:01', 'relation': 'r80', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '181391218623211', 'imsi': '181391218623211', 'ses_id': '00244', 'mac': '27:16:0F:9E:5D:3F', 'relation': 'r81', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '487421370583773', 'imsi': '487421370583773', 'ses_id': '00245', 'mac': '38:61:2D:EA:A1:48', 'relation': 'r81', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '386405192788778', 'imsi': '386405192788778', 'ses_id': '00246', 'mac': '30:0A:C3:AD:0B:44', 'relation': 'r81', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '823512713335785', 'imsi': '823512713335785', 'ses_id': '00247', 'mac': 'AC:2E:A4:DC:B4:DC', 'relation': 'r82', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '267201965767156', 'imsi': '267201965767156', 'ses_id': '00248', 'mac': '1B:8B:CB:3E:6C:02', 'relation': 'r82', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '696020508596870', 'imsi': '696020508596870', 'ses_id': '00249', 'mac': 'F5:F0:F4:CA:FE:00', 'relation': 'r82', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '425581194220837', 'imsi': '425581194220837', 'ses_id': '00250', 'mac': '28:7D:A4:0B:F2:7C', 'relation': 'r83', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '372291072507378', 'imsi': '372291072507378', 'ses_id': '00251', 'mac': 'C0:B2:75:46:03:F0', 'relation': 'r83', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '203254706503002', 'imsi': '203254706503002', 'ses_id': '00252', 'mac': '6B:46:AD:FC:56:0F', 'relation': 'r83', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '919997310266714', 'imsi': '919997310266714', 'ses_id': '00253', 'mac': '04:A0:52:61:A1:32', 'relation': 'r84', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '105445140354937', 'imsi': '105445140354937', 'ses_id': '00254', 'mac': '56:8D:97:8E:3A:4C', 'relation': 'r84', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '964051916063908', 'imsi': '964051916063908', 'ses_id': '00255', 'mac': '94:9C:02:C3:57:B0', 'relation': 'r84', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '405783289754635', 'imsi': '405783289754635', 'ses_id': '00259', 'mac': '1D:F3:03:DB:D8:14', 'relation': 'r86', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '276953791516178', 'imsi': '276953791516178', 'ses_id': '00260', 'mac': '52:26:BB:F9:3B:01', 'relation': 'r86', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '310344051183048', 'imsi': '310344051183048', 'ses_id': '00261', 'mac': '44:6B:8E:59:C5:B6', 'relation': 'r86', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '662318263963673', 'imsi': '662318263963673', 'ses_id': '00262', 'mac': '80:15:11:96:30:AE', 'relation': 'r87', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '824131122550314', 'imsi': '824131122550314', 'ses_id': '00263', 'mac': '6A:79:61:90:4E:5B', 'relation': 'r87', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '682321976991515', 'imsi': '682321976991515', 'ses_id': '00264', 'mac': 'D0:40:DF:E5:9F:09', 'relation': 'r87', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
